year,team,standing
2000,Real Madrid,WINNERS
2001,Real Madrid,SemiFinals
2002,Real Madrid,WINNERS
2003,Real Madrid,SemiFinals
2004,Real Madrid,QuarterFinals
2005,Real Madrid,last 16
2006,Real Madrid,last 16
2007,Real Madrid,last 16
2008,Real Madrid,last 16
2009,Real Madrid,last 16
2010,Real Madrid,last 16
2011,Real Madrid,SemiFinals
2012,Real Madrid,SemiFinals
2013,Real Madrid,SemiFinals
2014,Real Madrid,WINNERS
2015,Real Madrid,SemiFinals
2016,Real Madrid,WINNERS
2017,Real Madrid,WINNERS
2018,Real Madrid,WINNERS
2019,Real Madrid,last 16
2020,Real Madrid,last 16
2021,Real Madrid,SemiFinals
2022,Real Madrid,WINNERS
2000,Bayern Munich,SemiFinals
2001,Bayern Munich,WINNERS
2002,Bayern Munich,QuarterFinals
2003,Bayern Munich,Group Stage
2004,Bayern Munich,QuarterFinals
2005,Bayern Munich,QuarterFinals
2006,Bayern Munich,last 16
2007,Bayern Munich,QuarterFinals
2008,Bayern Munich,DNP
2009,Bayern Munich,QuarterFinals
2010,Bayern Munich,Final
2011,Bayern Munich,last 16
2012,Bayern Munich,Final
2013,Bayern Munich,WINNERS
2014,Bayern Munich,SemiFinals
2015,Bayern Munich,SemiFinals
2016,Bayern Munich,SemiFinals
2017,Bayern Munich,QuarterFinals
2018,Bayern Munich,SemiFinals
2019,Bayern Munich,last 16
2020,Bayern Munich,WINNERS
2021,Bayern Munich,QuarterFinals
2022,Bayern Munich,QuarterFinals
2000,Barcelona,SemiFinals
2001,Barcelona,Group Stage
2002,Barcelona,SemiFinals
2003,Barcelona,QuarterFinals
2004,Barcelona,DNP
2005,Barcelona,last 16
2006,Barcelona,WINNERS
2007,Barcelona,last 16
2008,Barcelona,SemiFinals
2009,Barcelona,WINNERS
2010,Barcelona,SemiFinals
2011,Barcelona,WINNERS
2012,Barcelona,SemiFinals
2013,Barcelona,SemiFinals
2014,Barcelona,QuarterFinals
2015,Barcelona,WINNERS
2016,Barcelona,QuarterFinals
2017,Barcelona,QuarterFinals
2018,Barcelona,QuarterFinals
2019,Barcelona,SemiFinals
2020,Barcelona,QuarterFinals
2021,Barcelona,last 16
2022,Barcelona,Group Stage
2000,Manchester United,QuarterFinals
2001,Manchester United,QuarterFinals
2002,Manchester United,SemiFinals
2003,Manchester United,QuarterFinals
2004,Manchester United,last 16
2005,Manchester United,last 16
2006,Manchester United,Group Stage
2007,Manchester United,SemiFinals
2008,Manchester United,WINNERS
2009,Manchester United,Final
2010,Manchester United,QuarterFinals
2011,Manchester United,Final
2012,Manchester United,Group Stage
2013,Manchester United,last 16
2014,Manchester United,QuarterFinals
2015,Manchester United,DNP
2016,Manchester United,Group Stage
2017,Manchester United,DNP
2018,Manchester United,last 16
2019,Manchester United,QuarterFinals
2020,Manchester United,DNP
2021,Manchester United,Group Stage
2022,Manchester United,last 16
2000,Chelsea,QuarterFinals
2001,Chelsea,DNP
2002,Chelsea,DNP
2003,Chelsea,DNP
2004,Chelsea,SemiFinals
2005,Chelsea,SemiFinals
2006,Chelsea,last 16
2007,Chelsea,SemiFinals
2008,Chelsea,Final
2009,Chelsea,SemiFinals
2010,Chelsea,last 16
2011,Chelsea,QuarterFinals
2012,Chelsea,WINNERS
2013,Chelsea,Group Stage
2014,Chelsea,SemiFinals
2015,Chelsea,last 16
2016,Chelsea,last 16
2017,Chelsea,DNP
2018,Chelsea,last 16
2019,Chelsea,DNP
2020,Chelsea,last 16
2021,Chelsea,QuarterFinals
2022,Chelsea,last 16
